id,role,value,,,,,,,
Alibek Kassym,footballer,500000,,,,,,,
Abat Aimbetov,footballer,1000000,,,,,,,
Bauyrzhan Islamkhan,footballer,-,,,,,,,
Marin Tomasov,footballer,300000,,,,,,,
Pedro Eugenio,footballer,500000,,,,,,,
Duman Narzildaev,footballer,200000,,,,,,,
Aleksandr Karpovich,coach,-,,,,,,,
Temirlan Erlanov,footballer,400000,,,,,,,
Dmitrit Shomko,footballer,300000,,,,,,,
